/*
License:		CC BY-SA (Creative Commons Attribution-ShareAlike)

Author:		Maciej Słojewski (🐘), http://mslonik.pl

Purpose:		Based on library "(Unicode Sender) Orthographic.csv" with typomatic convention of my hotstrings.

Notes:		Reviewed, verified, supplemented and corrected on 2023-02-26.

Example:		centigrade/ -> ℃
*/

*C1?Z‖strings/‖SI‖En‖""{left 1}‖strings open-close
*C1?Z‖singlestrings/‖SI‖En‖''{left 1}‖strings open-close
*C1?Z‖guillemets/‖SI‖En‖«»{left 1}‖guillemets open-close (U+00AB) (U+00BB)
*C1?Z‖singleguillemets/‖SI‖En‖‹›{left 1}‖chevrons open-close (U+2039) (U+203A)
*C1?Z‖chevrons/‖SI‖En‖‹›{left 1}‖chevrons open-close (U+2039) (U+203A)
*C1?Z‖anglebrackets/‖SI‖En‖‹›{left 1}‖Single Angle Quotation Mark (U+2039) (U+203A)
*C1?Z‖angleheavybrackets/‖SI‖En‖❮❯{left 1}‖Heavy Angle Quotation Mark Ornament (U+276E) (U+276F)
*C1?Z‖angleheavyornamentbrackets/‖SI‖En‖❰❱{left 1}‖Heavy Angle Bracket Ornament (U+2770) (U+2771)
*C1?Z‖angledbrackets/‖SI‖En‖⟨⟩{left 1}‖angle brackets open-close (U+2329) (U+232A)
*C1?Z‖doubleanglebrackets/‖SI‖En‖《》{left 1}‖double angle brackets open-close (U+300A) (U+300B)
*C1?Z‖doubleangledbrackets/‖SI‖En‖《》{left 1}‖double angle brackets open-close (U+300A) (U+300B)
